央视频道,#genre#
攀枝花新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pzhytH265.m3u8?$1920x1080
攀枝花文旅生活,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pzhggpd.m3u8?$720x576
攀钢新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pgxwzh.m3u8?$1920x1080
米易综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/myxwzh.m3u8?$1920x1080
盐边综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ybtgq.m3u8?$1920x1080
仁和新闻,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/rhxwH264.m3u8?$1920x1080
广元综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gyzhH265.m3u8?$1920x1080
广元文化生活,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gyggH265.m3u8?$1920x1080
剑阁综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jgxwzhH265.m3u8?$1920x1080
旺苍新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wcxwzhH265.m3u8?$1920x1080
朝天综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ctxwzh.m3u8?$1920x1080
青川综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qcxwzhH265.m3u8?$720x404
利州综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lzxwzh.m3u8?$1920x1080
苍溪综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/cxxwgqH265.m3u8?$1920x1080
昭化综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zhxwzh.m3u8?$1920x1080
泸州公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lzgg.m3u8?$720x576
合江新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hjxw.m3u8?$720x576
叙永电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xyxw.m3u8?$720x576
纳溪一套,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/nxxw.m3u8?$720x576
泸县综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lxxwzh.m3u8?$720x576
古蔺新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/glxwzhgq.m3u8?$1920x1080
绵竹综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/mzxwzh.m3u8?$720x576
中江新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zjxwzh.m3u8?$1920x1080
什邡新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sfx.m3u8?$1920x1080
广汉综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ghxwzh.m3u8?$720x576
罗江综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ljxwzh.m3u8?$720x576
宜宾新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ybytH264.m3u8?$1920x1080
宜宾公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ybetH264.m3u8?$1920x1080
宜宾导视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ybds.m3u8?$1920x1080
叙州新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ybx.m3u8?$720x576
江安电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jat.m3u8?$720x576
珙县新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gxzh.m3u8?$1920x1080
兴文电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xwt.m3u8?$1920x1080
高县电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gxt.m3u8?$1920x1080
南溪综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/nxt.m3u8?$1920x1080
屏山新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/psxwzh.m3u8?$1920x1080
筠连新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ylyt.m3u8?$720x576
长宁综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/znzh.m3u8?$1920x1080
遂宁新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/snxwzhHDH265.m3u8?$1920x1080
遂宁公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/sngggq.m3u8?$1920x1080
船山综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/csxw.m3u8?$1920x1080
安居综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ajxw.m3u8?$720x576
东兴综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dxxwzh.m3u8?$720x576
射洪综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/shzhH264.m3u8?$720x576
蓬溪新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pxxw.m3u8?$1920x1080
大英新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dyxwzhH265.m3u8?$1920x1080
乐山新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lsxwzh.m3u8?$1920x1080
乐山公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lsggpd.m3u8?$1920x1080
沙湾融媒,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/swxwzh.m3u8?$1920x1080
五通桥综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wtqxwzh.m3u8?$1920x1080
金口河综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jkhdst.m3u8?$1920x1080
沐川综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/mcxw.m3u8?$1920x1080
夹江新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jjxw.m3u8?$1920x1080
峨眉山综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/emsxw.m3u8?$1920x1080
井研新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/jyxwzh162.m3u8?$1920x1080
犍为新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qwxwzh.m3u8?$720x576
峨边综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ebdst.m3u8?$1920x1080
内江综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/njzh.m3u8?$720x576
内江公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/njgg.m3u8?$720x576
东兴综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dxxwzh.m3u8?$720x576
资中综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/zzzh.m3u8?$1920x1080
隆昌综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lcxw.m3u8?$1920x1080
南充综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ncxwzh.m3u8?$1920x1080
南充公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ncgg.m3u8?$1920x1080
西充新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xczh.m3u8?$1920x1080
南部新闻,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/nbxw.m3u8?$720x576
蓬安综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/pazh.m3u8?$720x576
阆中综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lzxw.m3u8?$720x576
仪陇新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ylxw.m3u8?$720x576
营山综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ysxw.m3u8?$1920x1080
达州新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dzxwzh.m3u8?$1920x1080
达州公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dzgg.m3u8?$1920x1080
达州导视,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dzds.m3u8?$1920x1080
通川区电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/tcq.m3u8?$1920x1080
通川区电视台2,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xcxwzhH264.m3u8?$1920x1080
达川新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/dcxwzh.m3u8?$1920x1080
渠县新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/qxxwzh.m3u8?$1920x1080
宣汉新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xhxwzh.m3u8?$1920x1080
开江新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/kjxwzh.m3u8?$1920x1080
万源综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/wyxwzh.m3u8?$1920x1080
雅安新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/yazh.m3u8?$1920x1080
宝兴综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/bxdst.m3u8?$1920x1080
汉源新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hyxwzh.m3u8?$720x576
天全新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/tqzh.m3u8?$1920x1080
石棉电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/smxwzh.m3u8?$720x576
芦山新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/lszh.m3u8?$1920x1080
名山电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/msdstH265.m3u8?$1920x1080
荥经电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/xjdst.m3u8?$1920x1080
广安新闻综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gaxwzh.m3u8?$720x576
广安公共,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gagg.m3u8?$720x576
广安区电视台,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/gaqxw.m3u8?$720x576
岳池综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/ycxw.m3u8?$1920x1080
华蓥综合,http://[240e:930:c200:12:13::]/livehkkp.chinamcache.com/live/hyxw.m3u8?$720x576
